NU_INSCRICAO;NU_ANO;TP_COR_RACA;CO_MUNICIPIO_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q007;Q021;Q020;Q023
210052410091;2021;1;3541000;;;;;;D;A;B;-
210051202670;2021;2;3541000;457,7;423,9;411,1;494,4;620,0;E;A;B;-
210051681065;2021;3;3541000;561,6;648,2;562,2;484,6;660,0;G;C;B;-
210053955210;2021;1;3541000;;467,7;556,9;;500,0;C;B;B;-
210052472733;2021;3;3541000;;;;;;A;B;A;-
210052845623;2021;1;3541000;453,4;498,3;411,5;501,8;480,0;C;A;B;-
210053523417;2021;3;3541000;;;;;;E;A;B;-
210053534481;2021;3;3541000;;;;;;C;B;B;-
210052224550;2021;2;3541000;594,5;593,0;641,0;712,1;760,0;B;B;B;-
210051980875;2021;3;3541000;389,6;449,6;496,0;475,7;540,0;F;B;B;-
210053947048;2021;1;3541000;597,1;686,1;618,1;581,7;880,0;D;B;B;-
210054360316;2021;2;3541000;567,9;665,1;637,6;447,6;680,0;F;B;B;-
210052232487;2021;1;3541000;408,0;487,2;435,1;416,3;440,0;C;A;B;-
210051348324;2021;2;3541000;609,0;684,7;648,5;620,5;680,0;F;B;B;-
210051280294;2021;1;3541000;479,0;521,5;554,6;608,5;660,0;A;B;B;-
210053060894;2021;1;3541000;417,1;500,5;523,8;455,3;680,0;C;A;B;-
210052064660;2021;1;3541000;507,4;496,6;533,6;589,0;660,0;I;B;B;-
210052636536;2021;3;3541000;405,9;455,0;552,3;484,8;540,0;F;B;B;-
210051866284;2021;1;3541000;;;;;;D;B;B;-
210053091594;2021;3;3541000;497,0;624,4;572,8;664,2;820,0;B;B;B;-
210052727114;2021;1;3541000;589,0;566,1;556,3;689,7;760,0;C;B;B;-
210052451475;2021;1;3541000;;;;;;B;A;A;-
210052387449;2021;3;3541000;515,4;607,7;524,0;611,5;900,0;B;B;B;-
210051503603;2021;1;3541000;421,6;546,7;605,1;628,8;800,0;C;B;B;-
210051236538;2021;3;3541000;;;;;;D;A;B;-
210054334323;2021;1;3541000;;;;;;B;A;A;-
210054378416;2021;1;3541000;;;;;;B;B;B;-
210052197343;2021;3;3541000;536,0;524,5;538,1;459,6;860,0;B;B;B;-
210051930745;2021;1;3541000;533,1;561,7;538,4;466,2;900,0;H;B;B;-
210051793955;2021;1;3541000;;;;;;C;A;B;-
210052861264;2021;3;3541000;;565,2;509,2;;480,0;C;B;B;-
210053532438;2021;1;3541000;542,3;592,3;565,4;533,9;480,0;C;B;B;-
210051843114;2021;1;3541000;;;;;;P;E;B;-
210054363576;2021;1;3541000;;;;;;H;C;B;-
210052426982;2021;1;3541000;524,2;572,3;526,3;595,1;800,0;B;B;B;-
210051182844;2021;1;3541000;601,4;701,1;593,8;779,3;940,0;F;B;B;-
210051272321;2021;1;3541000;444,2;545,4;490,4;526,8;840,0;D;A;B;-
210051369265;2021;3;3541000;;;;;;E;B;B;-
210054399826;2021;3;3541000;531,6;604,9;561,6;463,6;600,0;B;A;A;-
210053540131;2021;1;3541000;429,6;419,3;406,6;427,4;720,0;B;A;B;-
210052697319;2021;3;3541000;411,6;547,4;524,3;406,0;600,0;C;A;B;-
210052464682;2021;2;3541000;427,3;527,2;472,9;482,7;560,0;B;A;B;-
210051586440;2021;1;3541000;565,0;590,4;493,0;459,0;560,0;D;A;B;-
210054375081;2021;1;3541000;581,4;592,6;549,7;681,1;880,0;C;B;B;-
210053534886;2021;3;3541000;;;;;;H;A;B;-
210054338088;2021;3;3541000;;;;;;C;B;B;-
210051463253;2021;3;3541000;506,4;483,7;509,2;489,3;360,0;D;A;B;-
210053910173;2021;1;3541000;559,0;596,2;671,1;538,1;640,0;G;B;B;-
210052322169;2021;1;3541000;644,7;585,1;634,8;711,8;880,0;L;B;B;-
210051195549;2021;1;3541000;;;;;;F;D;B;-
210053510082;2021;1;3541000;474,4;411,8;419,2;468,3;660,0;C;B;B;-
210052455392;2021;1;3541000;413,7;477,5;470,7;541,8;680,0;G;A;B;-
210051232175;2021;1;3541000;527,0;570,3;511,5;374,3;680,0;F;B;B;-
210052110254;2021;2;3541000;;;;;;B;A;B;-
210051764346;2021;1;3541000;466,5;405,2;499,8;462,0;560,0;B;B;B;-
210052846090;2021;2;3541000;;;;;;D;B;B;-
210052024523;2021;3;3541000;539,7;573,1;502,6;577,1;680,0;L;C;B;-
210054392306;2021;3;3541000;614,5;664,5;619,8;759,0;920,0;M;C;B;-
210053077445;2021;1;3541000;533,8;566,6;594,6;564,8;660,0;F;B;B;-
210052562526;2021;3;3541000;508,8;585,6;564,4;632,2;560,0;B;B;B;-
210051521197;2021;3;3541000;;;;;;B;A;B;-
210053483776;2021;1;3541000;533,9;543,4;545,6;673,0;700,0;J;D;B;-
210053507860;2021;2;3541000;388,3;663,9;596,9;539,9;660,0;C;B;B;-
210051796968;2021;2;3541000;452,0;555,3;532,1;430,4;680,0;C;B;B;-
210052510453;2021;1;3541000;598,1;599,9;568,1;607,0;560,0;D;A;B;-
210051296987;2021;1;3541000;584,1;621,4;531,6;562,0;720,0;C;A;B;-
210051533942;2021;3;3541000;548,4;524,1;487,4;484,6;620,0;G;B;B;-
210052020472;2021;3;3541000;408,8;441,2;376,3;399,6;660,0;C;A;B;-
210053491997;2021;3;3541000;388,6;450,1;372,7;578,3;640,0;D;C;B;-
210052120316;2021;3;3541000;465,9;494,5;507,0;415,5;780,0;A;A;B;-
210053962636;2021;1;3541000;453,2;424,5;398,6;466,0;520,0;B;B;B;-
210052946019;2021;3;3541000;636,1;603,1;600,9;633,2;520,0;B;A;B;-
210052347045;2021;2;3541000;;;;;;B;A;B;-
210051293710;2021;1;3541000;537,9;684,1;597,5;694,8;880,0;G;B;B;-
210052184588;2021;2;3541000;;;;;;D;A;B;-
210052070470;2021;1;3541000;409,5;484,8;461,6;533,5;540,0;C;C;B;-
210054353320;2021;1;3541000;;472,5;361,8;;680,0;C;B;B;-
210052789861;2021;1;3541000;464,3;668,8;623,4;636,5;840,0;D;A;B;-
210053539184;2021;1;3541000;504,2;423,9;467,4;481,9;520,0;C;B;B;-
210051808252;2021;3;3541000;477,1;526,4;462,5;419,7;680,0;B;B;B;-
210052482135;2021;1;3541000;;;;;;D;B;B;-
210053965592;2021;4;3541000;458,6;519,6;434,4;397,9;460,0;C;A;B;-
210052446718;2021;1;3541000;;;;;;C;A;B;-
210051755533;2021;1;3541000;555,7;630,4;590,2;417,0;760,0;B;B;B;-
210052397812;2021;2;3541000;;;;;;B;A;B;-
210052900548;2021;1;3541000;607,3;684,9;606,5;721,4;880,0;P;D;B;-
210052633137;2021;1;3541000;530,7;542,0;455,5;632,6;800,0;H;C;B;-
210054343826;2021;1;3541000;454,0;383,1;356,5;544,0;540,0;I;A;B;-
210054366876;2021;3;3541000;506,6;629,2;563,5;452,7;640,0;G;B;B;-
210054382854;2021;1;3541000;524,5;470,2;486,8;476,7;560,0;K;E;B;-
210053106039;2021;2;3541000;;;;;;C;A;B;-
210053322467;2021;1;3541000;455,9;633,1;575,4;505,0;560,0;D;A;B;-
210051295045;2021;2;3541000;455,1;557,9;548,3;583,0;920,0;B;A;B;-
210051862067;2021;1;3541000;489,3;438,7;425,9;409,1;0,0;G;C;B;-
210052961096;2021;3;3541000;590,2;601,2;461,2;539,5;660,0;H;B;B;-
210052944301;2021;1;3541000;519,2;633,2;600,0;611,4;680,0;F;B;B;-
210053040165;2021;1;3541000;495,0;593,6;538,7;411,1;760,0;D;A;B;-
210053927913;2021;1;3541000;;;;;;B;A;B;-
210052294642;2021;1;3541000;474,5;389,9;506,2;560,8;620,0;C;B;B;-
210053953786;2021;1;3541000;;;;;;C;B;B;-
210051226537;2021;1;3541000;532,6;544,4;543,1;636,3;700,0;B;E;B;-
210052142921;2021;1;3541000;412,8;531,6;560,2;485,9;660,0;D;C;B;-
210054383060;2021;1;3541000;;;;;;C;A;B;-
210052955748;2021;1;3541000;;;;;;A;A;B;-
210052523838;2021;3;3541000;;;;;;C;A;B;-
210052333045;2021;2;3541000;;;;;;C;A;A;-
210052011203;2021;2;3541000;495,6;584,9;567,3;443,0;480,0;C;A;B;-
210052197506;2021;1;3541000;429,8;396,0;422,5;489,8;620,0;C;B;B;-
210051190570;2021;1;3541000;577,3;598,6;481,9;663,8;560,0;C;B;B;-
210052675894;2021;3;3541000;624,0;655,1;613,6;726,0;740,0;L;C;B;-
210054210557;2021;1;3541000;497,8;433,3;390,2;397,3;500,0;A;B;B;-
210053968707;2021;3;3541000;;;;;;F;B;B;-
210052666601;2021;2;3541000;407,9;405,7;483,6;411,4;500,0;C;A;A;-
210053072272;2021;2;3541000;559,4;689,5;590,6;501,9;680,0;A;B;B;-
210053541205;2021;3;3541000;634,2;683,2;607,9;785,3;740,0;B;B;B;-
210051352099;2021;3;3541000;490,2;346,8;424,7;399,7;440,0;B;A;A;-
210053964238;2021;2;3541000;;;;;;C;C;B;-
